trc4mitref_175	Karr, A. E.; Bowes, W. M.; Scheibel, E. G. (1951) Anal. Chem. 23, 459-63.
trc4mitref_176	Sumarokova, T.; Usanovich, M. (1951) J. Gen. Chem. USSR (Engl. Transl.) 21, 1329-1332.
trc4mitref_177	Carr, C.; Riddick, J. A. (1951) Ind. Eng. Chem. 43, 692.
trc4mitref_178	Udovenko, V. V.; Airapetova, R. P.; Pilatova, R. I. (1951) J. Gen. Chem. USSR (Engl. Transl.) 21, 1430.
trc4mitref_179	Sumarokova, T.; Usanovich, M. (1951) J. Gen. Chem. USSR (Engl. Transl.) 21, 1079-1081.
trc4mitref_180	Subnis, M. V.; Bhagwat, W. V. (1951) J. Indian Chem. Soc. 28, 275-276.
trc4mitref_181	Tamura, M.; Kurata, M.; Sata, S. (1952) Bull. Chem. Soc. Jpn. 25, 124-126.
trc4mitref_182	Lima, F. W. (1952) J. Phys. Chem. 56, 1052-1054.
trc4mitref_183	Udovenko, V. V.; Airapetova, R. P.; Malakhova, V. T. (1952) Zh. Obshch. Khim. 22, 1759-1761.
trc4mitref_184	Terra, P.; Paris, R. A. (1952) J. Chim. Phys. Phys.-Chim. Biol. 49, 408-10.
trc4mitref_185	Subnis, M. V. (1952) Univ. Rajputana Studies, Phys. Sci. 121-127.
trc4mitref_186	Dunning, H. N.; Washburn, E. W. (1952) J. Phys. Chem. 56, 235.
trc4mitref_187	Marechal, J. (1952) Trans. Faraday Soc. 48, 601-607.
trc4mitref_188	Udovenko, V. V.; Babak, S. F. (1953) Tr. Sredneaziat. Gos. Univ., Ser. 6 5, 9-16.
trc4mitref_189	Vasenko, E. N.; Dubrovskii, S. M. (1953) Zh. Fiz. Khim. 27, 281.
trc4mitref_190	Kovalenko, K. N.; Trifonov, N. A. (1953) Zh. Fiz. Khim. 27(4), 529-533.
trc4mitref_191	Ioffe, B. V.; Lilich, L. S. (1954) Zh. Obshch. Khim. 24, 81-88.
trc4mitref_192	Grunberg, L. (1954) Trans. Faraday Soc. 50, 1293.
trc4mitref_193	Usanovich, M.; Bilyalov, K.; Krasnomolova, L. (1955) Zh. Obshch. Khim. 25, 471.
trc4mitref_194	Karnaukhov, A. S.; Karov, Z. G. (1955) Uch. Zap. Kabard.-Balkar. Gos. Pedagog. Inst. 8, 61-69.
trc4mitref_195	Foster, N. G.; Amis, E. S. (1955) Z. Phys. Chem. (Leipzig) 365-381.
trc4mitref_196	Mamedov, A. A.; Panchenkov, G. M. (1955) Zh. Fiz. Khim. 29, 1204.
trc4mitref_197	Toropov, A. P.; Airapetova, R. P.; Kiryukhin, V. K. (1955) Zh. Obshch. Khim. 25, 1314-1317.
trc4mitref_198	Toropov, A. P. (1956) Russ. J. Gen. Chem. 26, 1453-1456.
trc4mitref_199	Bokhovkina, Y. I. (1956) J. Gen. Chem. USSR (Engl. Transl.) 26, 3285-3289.
trc4mitref_200	Airapetova, R. P.; Redkorebrova, N. T. (1956) Zh. Obshch. Khim. 26, 668-672.
trc4mitref_201	Whorton, R.; Amis, E. S. (1956) Z. Phys. Chem. (Munich) 8, 9-19.
trc4mitref_202	Usanovich, M.; Pichugina, E. (1956) J. Gen. Chem. USSR (Engl. Transl.) 26(9), 2697-2699.
trc4mitref_203	Kovalenko, K. N.; Trifonov, N. A.; Tissen, D. S. (1956) Zh. Obshch. Khim. 26, 2404-10.
trc4mitref_204	Venkatesan, V. K.; Suryanarayana, C. V. (1956) J. Phys. Chem. 60, 777-779.
trc4mitref_205	Udovenko, V. V.; Khomenko, R. I. (1956) J. Gen. Chem. USSR (Engl. Transl.) 26(12), 3639-3642.
trc4mitref_206	Usanovich, M. I.; Bilyalov, K.; Krasnomolova, L. (1956) Zh. Obshch. Khim. 26, 2723-6.
trc4mitref_207	Donald, M. B.; Ridgway, K. (1956) Chem. Eng. Sci. 5, 188.
trc4mitref_208	Orban, E.; Barnett, M. K.; Boyie, J. S.; Helks, J. R.; Jones, L. V. (1956) J. Phys. Chem. 60(4), 413-415.
trc4mitref_209	Bokhovkin, I. M. (1956) J. Gen. Chem. USSR (Engl. Transl.) 26, 3281-3283.
trc4mitref_210	Rush, R. I.; Ames, D. C.; Horst, R. W.; Mackay, J. R. (1956) J. Phys. Chem. 60, 1591-3.
trc4mitref_211	Toropov, A. P. (1956) Zh. Obshch. Khim. 26, 3635.
trc4mitref_212	Udovenko, V. V.; Khomenko, R. I. (1956) J. Gen. Chem. USSR (Engl. Transl.) 26, 3001-3004.
trc4mitref_213	Murphy, N. F.; Lastovica, J. E.; Fallis, J. G. (1957) Ind. Eng. Chem. 49(6), 1035-1042.
trc4mitref_214	Bokhovkin, I. M. (1957) J. Gen. Chem. USSR (Engl. Transl.) 27, 933-934.
trc4mitref_215	Lutskii, A. E.; Obukhova, E. M. (1957) Zh. Fiz. Khim. 31, 1693-1703.
trc4mitref_216	Udovenko, V. V.; Khomenko, R. I. (1957) J. Gen. Chem. USSR (Engl. Transl.) 27, 649-651.
trc4mitref_217	Miller, K. J. (1957) J. Phys. Chem. 61, 932-3.
trc4mitref_218	Howard, K. S.; McAllister, R. A. (1957) AIChE J. 3, 325.
trc4mitref_219	Udovenko, V. V.; Fialkov, Y. Y. (1957) Zh. Neorg. Khim. 2, 434-8.
trc4mitref_220	Dovzhenko, F. P. (1957) Zh. Fiz. Khim. 31, 2517-2521.
trc4mitref_221	Bak, T. A.; Anderson, K. (1958) Acta Chem. Scand. 12, 1367.
trc4mitref_222	Donald, M. B.; Ridgway, K. (1958) J. Appl. Chem. (London) 8, 403.
trc4mitref_223	Dianov, M. P.; Trifonov, N. A. (1958) J. Gen. Chem. USSR (Engl. Transl.) 28, 845.
trc4mitref_224	Udovenko, V. V.; Fialkov, Y. Y. (1958) J. Gen. Chem. USSR (Engl. Transl.) 28, 791-794.
trc4mitref_225	Bokhovkin, I. M.; Veselkova, E. G. (1958) J. Gen. Chem. USSR (Engl. Transl.) 28, 795-799.
trc4mitref_226	Waterman, H. I.; van Herwijnen, W. R. E.; den Hartog, H. W. (1958) J. Appl. Chem. (London) 8, 625-631.
trc4mitref_227	Howard, K. S.; McAllister, R. A. (1958) AIChE J. 4, 362-366.
trc4mitref_228	Mukherjee, L. M.; Grunwald, E. (1958) J. Phys. Chem. 62(10), 1311-1314.
trc4mitref_229	Khalilov, Kh. M.; Zabelina, Y. Y. (1958) Tr. Inst. Fiz. Mat., Akad. Nauk Az. SSR, Ser. Fiz. 9, 124-127.
trc4mitref_230	Edwards, O. W.; Huffman, E. O. (1958) Chem. Eng. Data Ser. 3, 145.
trc4mitref_231	Ling, T. D.; Van Winkle, M. (1958) Ind. Eng. Chem. Chem. Eng. Data Ser. 3, 88-95.
trc4mitref_232	Koefoed, J.; Villadsen, J. V. (1958) Acta Chem. Scand. 12, 1124-35.
trc4mitref_233	Uchida, S.-I.; Matsumoto, K. (1958) Kagaku Kogaku 22, 570-572.
trc4mitref_234	Huckel, W.; Hubele, A. (1958) Justus Liebigs Ann. Chem. 613, 27-43.
trc4mitref_235	Miller, K. J. (1958) J. Phys. Chem. 62, 512.
trc4mitref_236	Lutskii, A. E.; Obukhova, E. M.; Sidorov, I. A. (1958) J. Gen. Chem. USSR (Engl. Transl.) 28, 2423-2432.
trc4mitref_237	Ling, T. D.; Van Winkle, M. (1958) Ind. Eng. Chem. Chem. Eng. Data Ser. 3, 82-88.
trc4mitref_238	Teller, A. J.; Walsh, T. J. (1959) J. Chem. Eng. Data 4(3), 279-283.
